time	Variable_CELL_CYTOPLASM_M_MolarConc	Variable_CELL_CYTOPLASM_P0_MolarConc	Variable_CELL_CYTOPLASM_P1_MolarConc	Variable_CELL_CYTOPLASM_P2_MolarConc	Variable_CELL_CYTOPLASM_Pn_MolarConc	
6.911	2.226541042327881e+00	9.041990041732788e-01	4.510150253772736e-01	2.546048462390900e-01	3.272729516029358e-01	
7.692	2.378284692764282e+00	1.015734434127808e+00	5.053417682647705e-01	2.941430211067200e-01	3.769988715648651e-01	
8.474	2.513250350952148e+00	1.129673957824707e+00	5.619400143623352e-01	3.384353518486023e-01	4.344808161258698e-01	
9.441	2.650418996810913e+00	1.270739316940308e+00	6.340743303298950e-01	3.992205858230591e-01	5.152625441551208e-01	
10.39	2.743704795837402e+00	1.403835058212280e+00	7.055625915527344e-01	4.644336104393005e-01	6.037549972534180e-01	
11.339	2.786110162734985e+00	1.523851990699768e+00	7.755171060562134e-01	5.338351130485535e-01	6.998157501220703e-01	
12.288	2.770231008529663e+00	1.621503949165344e+00	8.411537408828735e-01	6.056256294250488e-01	8.013450503349304e-01	
13.219	2.695533037185669e+00	1.686344981193542e+00	8.982407450675964e-01	6.761581897735596e-01	9.036054015159607e-01	
14.127	2.569478034973145e+00	1.712554574012756e+00	9.436955451965332e-01	7.423481345176697e-01	1.002477049827576e+00	
15.034	2.398155689239502e+00	1.697717785835266e+00	9.760780930519104e-01	8.031612038612366e-01	1.096879482269287e+00	
15.941	2.191640615463257e+00	1.640794157981873e+00	9.926064014434814e-01	8.553982377052307e-01	1.182558774948120e+00	
16.849	1.961351394653320e+00	1.544582128524780e+00	9.909852147102356e-01	8.956115841865540e-01	1.254811644554138e+00	
17.756	1.719171285629272e+00	1.415555477142334e+00	9.697011113166809e-01	9.202262759208679e-01	1.308612227439880e+00	
18.663	1.477181434631348e+00	1.263258218765259e+00	9.284005165100098e-01	9.257647395133972e-01	1.338830232620239e+00	
19.571	1.247801780700684e+00	1.099311590194702e+00	8.683220148086548e-01	9.092505574226379e-01	1.340628027915955e+00	
20.465	1.046768546104431e+00	9.384402036666870e-01	7.938587665557861e-01	8.696245551109314e-01	1.310829639434814e+00	
21.28	8.959760665893555e-01	8.018392920494080e-01	7.169059514999390e-01	8.133527636528015e-01	1.254709362983704e+00	
22.025	7.937596440315247e-01	6.917439699172974e-01	6.432361006736755e-01	7.468660473823547e-01	1.179822087287903e+00	
22.723	7.348875999450684e-01	6.051340103149414e-01	5.749729871749878e-01	6.743672490119934e-01	1.091415643692017e+00	
23.388	7.161021232604980e-01	5.397697687149048e-01	5.137494206428528e-01	5.997814536094666e-01	9.943882822990417e-01	
24.015	7.337044477462769e-01	4.945132136344910e-01	4.617419242858887e-01	5.282529592514038e-01	8.956346511840820e-01	
24.591	7.800763249397278e-01	4.673278629779816e-01	4.204688370227814e-01	4.647961258888245e-01	8.028011918067932e-01	
25.141	8.495389819145203e-01	4.541880786418915e-01	3.879656493663788e-01	4.088979661464691e-01	7.160270810127258e-01	
25.688	9.394422769546509e-01	4.531442224979401e-01	3.630786538124084e-01	3.600247502326965e-01	6.350517272949219e-01	
26.234	1.045467257499695e+00	4.633417129516602e-01	3.459317088127136e-01	3.192577362060547e-01	5.622293949127197e-01	
26.776	1.161401629447937e+00	4.835449457168579e-01	3.365591168403625e-01	2.875692546367645e-01	5.002900362014771e-01	
27.305	1.280653238296509e+00	5.118751525878906e-01	3.343847393989563e-01	2.650099396705627e-01	4.508894383907318e-01	
27.834	1.402422428131104e+00	5.475898981094360e-01	3.385201394557953e-01	2.502481341362000e-01	4.128560125827789e-01	
28.363	1.524270176887512e+00	5.896530747413635e-01	3.482406437397003e-01	2.425018996000290e-01	3.858986496925354e-01	
29.036	1.676784276962280e+00	6.508733630180359e-01	3.674699068069458e-01	2.414082139730453e-01	3.663868010044098e-01	
29.708	1.824629902839661e+00	7.193014621734619e-01	3.930427432060242e-01	2.485640943050385e-01	3.614454567432404e-01	
30.381	1.966328740119934e+00	7.936418056488037e-01	4.237235486507416e-01	2.625857889652252e-01	3.689118325710297e-01	
31.054	2.100586652755737e+00	8.727828860282898e-01	4.585144221782684e-01	2.824115455150604e-01	3.868641555309296e-01	
31.726	2.225966930389404e+00	9.556743502616882e-01	4.966085553169250e-01	3.072435259819031e-01	4.137303233146667e-01	
32.59	2.371047019958496e+00	1.065799236297607e+00	5.492753386497498e-01	3.454971611499786e-01	4.593379795551300e-01	
33.454	2.493755817413330e+00	1.177412748336792e+00	6.049292087554932e-01	3.899417221546173e-01	5.155865550041199e-01	
34.519	2.605604887008667e+00	1.311556220054626e+00	6.756000518798828e-01	4.518131315708160e-01	5.971716642379761e-01	
35.584	2.663039922714233e+00	1.433299183845520e+00	7.456765174865723e-01	5.195676088333130e-01	6.895274519920349e-01	
36.645	2.656857013702393e+00	1.531373381614685e+00	8.112933039665222e-01	5.904127359390259e-01	7.890011668205261e-01	
37.633	2.590781211853027e+00	1.591917991638184e+00	8.650060892105103e-01	6.566547751426697e-01	8.848723769187927e-01	
38.579	2.475423574447632e+00	1.614640116691589e+00	9.063745141029358e-01	7.174410223960876e-01	9.758890271186829e-01	
39.513	2.318029165267944e+00	1.598967790603638e+00	9.345603585243225e-01	7.719752192497253e-01	1.061142206192017e+00	
40.447	2.126913309097290e+00	1.544560790061951e+00	9.474707245826721e-01	8.178004026412964e-01	1.137413620948792e+00	
41.381	1.913168907165527e+00	1.454241991043091e+00	9.430007338523865e-01	8.515097498893738e-01	1.199982762336731e+00	
42.316	1.688700079917908e+00	1.334344744682312e+00	9.199175238609314e-01	8.696710467338562e-01	1.243913412094116e+00	
43.25	1.465876579284668e+00	1.194096565246582e+00	8.782355785369873e-01	8.691090345382690e-01	1.264340639114380e+00	
44.184	1.257535934448242e+00	1.044605135917664e+00	8.196000456809998e-01	8.473694324493408e-01	1.256952643394470e+00	
45.076	1.084383130073547e+00	9.039787054061890e-01	7.510102391242981e-01	8.058532476425171e-01	1.221151590347290e+00	
45.896	9.576776027679443e-01	7.847850322723389e-01	6.810368895530701e-01	7.505277991294861e-01	1.162775278091431e+00	
46.659	8.758620023727417e-01	6.883741617202759e-01	6.140335798263550e-01	6.865945458412170e-01	1.087970018386841e+00	
47.379	8.361248373985291e-01	6.136874556541443e-01	5.525901913642883e-01	6.184304952621460e-01	1.002110958099365e+00	
48.055	8.352723121643066e-01	5.599820613861084e-01	4.992725253105164e-01	5.510836243629456e-01	9.117716550827026e-01	
48.685	8.671963810920715e-01	5.253533720970154e-01	4.555998444557190e-01	4.890164732933044e-01	8.234409093856812e-01	
49.282	9.255350232124329e-01	5.064772963523865e-01	4.208931028842926e-01	4.335917234420776e-01	7.397282123565674e-01	
49.869	1.006407499313354e+00	5.010392069816589e-01	3.941978216171265e-01	3.848938047885895e-01	6.613157391548157e-01	
